tconst	averageRating	numVotes
tt0000001	5.7	2142
tt0000002	5.5	290
tt0000003	6.4	2178
tt0000004	5.3	186
tt0000005	6.2	2912
tt0000006	5.0	209
tt0000007	5.3	904
tt0000008	5.4	2289
tt0000009	5.4	222
tt0000010	6.8	7909
tt0000011	5.2	416
tt0000012	7.4	13430
tt0000013	5.7	2061
tt0000014	7.1	6132
tt0000015	6.1	1266
tt0000016	5.9	1651
tt0000017	4.6	378
tt0000018	5.2	660
tt0000019	5.2	34
tt0000020	4.7	408
tt0000022	5.1	1206
tt0000023	5.7	1581
tt0000024	3.7	156
tt0000025	4.2	50
tt0000026	5.6	1672
tt0000027	5.6	1268
tt0000028	5.1	1193
tt0000029	5.9	3662
tt0000030	5.2	958
tt0000031	5.5	1092
tt0000032	4.9	459
tt0000033	5.5	1130
tt0000034	4.8	252
tt0000035	5.5	87
tt0000036	4.4	652
tt0000037	4.5	79
tt0000038	4.1	231
tt0000039	3.7	35
tt0000040	4.2	80
tt0000041	6.7	2106
tt0000042	4.2	41
tt0000043	3.5	35
tt0000044	4.0	56
tt0000045	4.0	36
tt0000046	4.1	41
tt0000047	3.7	40
tt0000048	4.7	233
tt0000049	4.8	56
tt0000050	4.1	37
tt0000051	3.6	38
tt0000052	4.1	123
tt0000053	3.4	20
tt0000054	4.9	37
tt0000055	3.8	34
tt0000056	3.0	24
tt0000057	4.3	38
tt0000058	4.3	36
tt0000059	3.5	30
tt0000060	7.1	94
tt0000061	4.3	36
tt0000062	6.1	221
tt0000063	3.4	31
tt0000064	3.1	32
tt0000065	3.4	32
tt0000066	3.3	32
tt0000067	5.2	94
tt0000068	3.8	34
tt0000069	4.9	543
tt0000070	6.4	2881
tt0000071	3.4	32
tt0000072	3.6	30
tt0000073	3.5	33
tt0000074	4.6	34
tt0000075	6.3	2160
tt0000076	4.4	586
tt0000077	4.5	38
tt0000078	3.6	111
tt0000079	4.5	39
tt0000080	4.1	34
tt0000081	4.1	35
tt0000082	4.6	52
tt0000083	4.5	36
tt0000084	4.4	33
tt0000085	4.7	36
tt0000086	4.2	36
tt0000087	4.8	39
tt0000088	4.3	35
tt0000089	6.2	1100
tt0000090	4.0	34
tt0000091	6.7	4286
tt0000092	4.6	32
tt0000093	4.6	100
tt0000094	4.4	55
tt0000095	4.8	37
tt0000096	4.5	32
tt0000097	4.9	36
tt0000098	5.3	39
tt0000099	4.7	35
tt0000100	4.7	65
